"Pos","Driver","Nationality","Team","Points"
"1","Michael Schumacher","German","Ferrari","148"
"2","Rubens Barrichello","Brazilian","Ferrari","114"
"3","Jenson Button","British","BAR-Honda","85"
"4","Fernando Alonso","Spanish","Renault","59"
"5","Juan Pablo Montoya","Colombian","Williams-BMW","58"
"6","Jarno Trulli","Italian","Toyota","46"
"7","Kimi Räikkönen","Finnish","McLaren-Mercedes","45"
"8","Takuma Sato","Japanese","BAR-Honda","34"
"9","Ralf Schumacher","German","Williams-BMW","24"
"10","David Coulthard","British","McLaren-Mercedes","24"
"11","Giancarlo Fisichella","Italian","Sauber-Petronas","22"
"12","Felipe Massa","Brazilian","Sauber-Petronas","12"
"13","Mark Webber","Australian","Jaguar-Cosworth","7"
"14","Olivier Panis","French","Toyota","6"
"15","Antonio Pizzonia","Brazilian","Williams-BMW","6"
"16","Christian Klien","Austrian","Jaguar-Cosworth","3"
"17","Cristiano da Matta","Brazilian","Toyota","3"
"18","Nick Heidfeld","German","Jordan-Ford","3"
"19","Timo Glock","German","Jordan-Ford","2"
"20","Zsolt Baumgartner","Hungarian","Minardi-Cosworth","1"
"21","Jacques Villeneuve","Canadian","Renault","0"
"22","Ricardo Zonta","Brazillian","Toyota","0"
"23","Marc Gene","Spanish","Williams-BMW","0"
"24","Giorgio Pantano","Italian","Jordan-Ford","0"
"25","Gianmaria Bruni","Italian","Minardi-Cosworth","0"
