"Pos","Team","Points"
"1","Ferrari","95"
"2","Lotus-Ford","62"
"3","McLaren-Ford","60"
"4","Wolf-Ford","55"
"5","Brabham-Alfa Romeo","27"
"6","Tyrrell-Ford","27"
"7","Shadow-Ford","23"
"8","Ligier-Matra","18"
"9","Fittipaldi-Ford","11"
"10","Ensign-Ford","10"
"11","Surtees-Ford","6"
"12","Penske-Ford","1"
"13","March-Ford","0"
"14","Hesketh-Ford","0"
"15","Kojima-Ford","0"
"16","LEC-Ford","0"
"17","BRM","0"
"18","Boro-Ford","0"
"19","Renault","0"
"20","Williams-Ford","0"
"21","McGuire-Ford Cos. DFV 3.0 V8","0"
